region_grid,province,Zone,node,Resource,technology,cluster,R_ID,COAL,GAS,NUCLEAR,HYDRO,ONWIND,OFFWIND,SOLAR,PUMPED,BATTERY,OTHER,Commit,Existing_Cap_MW,num_units,unmodified_existing_cap_mw,Cap_Size,Var_OM_Cost_per_MWh,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Heat_Rate_MMBTU_per_MWh,Fuel,Min_Power,Eff_Up,Eff_Down,Ramp_Up_Percentage,Ramp_Dn_Percentage,status,start_year,retired_year,gen_id
NorthChina,Shandong,SD,Shandong,Datang Dongying power station Phase I Unit 2,ultra_supercritical_coal,1,G100000102034,1,0,0,0,0,0,0,0,0,0,1,1000.0,1,1000.0,1000.0,5,30,0,8.8,coal,0.4,0.387727273,0.387727273,0.5,0.5,operating,2020.0,,412
NorthChina,Hebei,HB_N,HEBEI_NORTH,Datang Douhe power station Unit 1,ultra_supercritical_coal,1,G100000114369,1,0,0,0,0,0,0,0,0,0,1,660.0,1,660.0,660.0,5,30,0,8.8,coal,0.4,0.387727273,0.387727273,0.5,0.5,operating,2025.0,,413
NortheastChina,Heilongjiang,HL,Heilongjiang,Datang Harbin Cogen power station Phase I Unit 1,conventional_steam_coal,1,G100000102052,1,0,0,0,0,0,0,0,0,0,1,300.0,1,300.0,300.0,5,30,0,10.3,coal,0.4,0.331262136,0.331262136,0.5,0.5,operating,2010.0,,414
NortheastChina,Heilongjiang,HL,Heilongjiang,Datang Harbin Cogen power station Phase I Unit 2,conventional_steam_coal,1,G100000102053,1,0,0,0,0,0,0,0,0,0,1,300.0,1,300.0,300.0,5,30,0,10.3,coal,0.4,0.331262136,0.331262136,0.5,0.5,operating,2010.0,,415
NorthwestChina,Xinjiang,XJ,Xinjiang,Datang Hutubi power station Phase I Unit 1,conventional_steam_coal,1,G100000102083,1,0,0,0,0,0,0,0,0,0,1,300.0,1,300.0,300.0,5,30,0,10.3,coal,0.4,0.331262136,0.331262136,0.5,0.5,operating,2013.0,,416
NorthwestChina,Xinjiang,XJ,Xinjiang,Datang Hutubi power station Phase I Unit 2,conventional_steam_coal,1,G100000102084,1,0,0,0,0,0,0,0,0,0,1,300.0,1,300.0,300.0,5,30,0,10.3,coal,0.4,0.331262136,0.331262136,0.5,0.5,operating,2013.0,,417
NorthChina,Shandong,SD,Shandong,Datang Linqing power station Unit 1,supercritical_coal,1,G100000102107,1,0,0,0,0,0,0,0,0,0,1,350.0,1,350.0,350.0,5,30,0,9.4,coal,0.4,0.362978723,0.362978723,0.5,0.5,operating,2016.0,,418
NorthChina,Shandong,SD,Shandong,Datang Linqing power station Unit 2,supercritical_coal,1,G100000102108,1,0,0,0,0,0,0,0,0,0,1,350.0,1,350.0,350.0,5,30,0,9.4,coal,0.4,0.362978723,0.362978723,0.5,0.5,operating,2017.0,,419
MiddleChina,Henan,HA,Henan,Datang Luoyang power station Unit 11,conventional_steam_coal,1,G100000102114,1,0,0,0,0,0,0,0,0,0,1,320.0,1,320.0,320.0,5,30,0,10.3,coal,0.4,0.331262136,0.331262136,0.5,0.5,operating,2005.0,,420
MiddleChina,Henan,HA,Henan,Datang Luoyang power station Unit 12,conventional_steam_coal,1,G100000102115,1,0,0,0,0,0,0,0,0,0,1,320.0,1,320.0,320.0,5,30,0,10.3,coal,0.4,0.331262136,0.331262136,0.5,0.5,operating,2005.0,,421
EastChina,Jiangsu,JS,Jiangsu,Datang Nanjing Xiaguan-3 power station Unit 1,ultra_supercritical_coal,1,G100000102132,1,0,0,0,0,0,0,0,0,0,1,660.0,1,660.0,660.0,5,30,0,8.8,coal,0.4,0.387727273,0.387727273,0.5,0.5,operating,2010.0,,422
EastChina,Jiangsu,JS,Jiangsu,Datang Nanjing Xiaguan-3 power station Unit 2,ultra_supercritical_coal,1,G100000102133,1,0,0,0,0,0,0,0,0,0,1,660.0,1,660.0,660.0,5,30,0,8.8,coal,0.4,0.387727273,0.387727273,0.5,0.5,operating,2010.0,,423
MiddleChina,Henan,HA,Henan,Datang Sanmenxia power station Phase I Unit 1,conventional_steam_coal,1,G100000102153,1,0,0,0,0,0,0,0,0,0,1,320.0,1,320.0,320.0,5,30,0,10.3,coal,0.4,0.331262136,0.331262136,0.5,0.5,operating,1995.0,,424
MiddleChina,Henan,HA,Henan,Datang Sanmenxia power station Phase I Unit 2,conventional_steam_coal,1,G100000102154,1,0,0,0,0,0,0,0,0,0,1,320.0,1,320.0,320.0,5,30,0,10.3,coal,0.4,0.331262136,0.331262136,0.5,0.5,operating,1996.0,,425
MiddleChina,Henan,HA,Henan,Datang Sanmenxia power station Phase II Unit 3,supercritical_coal,1,G100000102155,1,0,0,0,0,0,0,0,0,0,1,630.0,1,630.0,630.0,5,30,0,9.4,coal,0.4,0.362978723,0.362978723,0.5,0.5,operating,2006.0,,426
MiddleChina,Henan,HA,Henan,Datang Sanmenxia power station Phase II Unit 4,supercritical_coal,1,G100000102156,1,0,0,0,0,0,0,0,0,0,1,630.0,1,630.0,630.0,5,30,0,9.4,coal,0.4,0.362978723,0.362978723,0.5,0.5,operating,2006.0,,427
MiddleChina,Henan,HA,Henan,Datang Sanmenxia power station Phase III Unit 5,ultra_supercritical_coal,1,G100000102157,1,0,0,0,0,0,0,0,0,0,1,1000.0,1,1000.0,1000.0,5,30,0,8.8,coal,0.4,0.387727273,0.387727273,0.5,0.5,operating,2017.0,,428
NorthChina,Shanxi,SX,Shanxi,Datang Shentou power station Unit 1,conventional_steam_coal,1,G100000102165,1,0,0,0,0,0,0,0,0,0,1,500.0,1,500.0,500.0,5,30,0,10.3,coal,0.4,0.331262136,0.331262136,0.5,0.5,operating,2004.0,,429
NorthChina,Shanxi,SX,Shanxi,Datang Shentou power station Unit 2,conventional_steam_coal,1,G100000102166,1,0,0,0,0,0,0,0,0,0,1,500.0,1,500.0,500.0,5,30,0,10.3,coal,0.4,0.331262136,0.331262136,0.5,0.5,operating,2005.0,,430
NortheastChina,Heilongjiang,HL,Heilongjiang,Datang Shuangyashan power station Unit 1,conventional_steam_coal,1,G100000102167,1,0,0,0,0,0,0,0,0,0,1,200.0,1,200.0,200.0,5,30,0,10.3,coal,0.4,0.331262136,0.331262136,0.5,0.5,operating,2006.0,,431
