,datetime,Beijing,Tianjin,HEBEI_SOUTH,Shanxi,Shandong,HEBEI_NORTH,NM_EAST,Liaoning,Jilin,Heilongjiang,Shanghai,Jiangsu,Zhejiang,Anhui,Fujian,Jiangxi,Henan,Hubei,Hunan,Chongqing,Sichuan,Guangdong,Guangxi,Hainan,Guizhou,Yunnan,Shaanxi,Gansu,Qinghai,Ningxia,Xinjiang,NM_WEST,Tibet,Hongkong,Macao,Taiwan
25,2025-01-02 01:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,2025-01-02 02:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,2025-01-02 03:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,2025-01-02 04:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,2025-01-02 05:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,2025-01-02 06:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,2025-01-02 07:00:00+00:00,0,0.001027668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001027668,0.001027668,0.001027668,0.001027668,0.001027668,0.001027668,0.001027668,0.001106719,0,0,0
32,2025-01-02 08:00:00+00:00,0.091067194,0.098656126,0.091067194,0.091067194,0.091067194,0.091067194,0.091067194,0.091067194,0.091067194,0.091067194,0.075889328,0.075889328,0.075889328,0.075889328,0.075889328,0.075889328,0.075889328,0.075889328,0.060711462,0.068300395,0.075889328,0.075889328,0.075889328,0.075889328,0.075889328,0.098656126,0.098656126,0.098656126,0.098656126,0.098656126,0.098656126,0.098656126,0.106245059,0,0,0
33,2025-01-02 09:00:00+00:00,0.253280632,0.274387352,0.253280632,0.253280632,0.253280632,0.253280632,0.253280632,0.253280632,0.253280632,0.253280632,0.211067194,0.211067194,0.211067194,0.211067194,0.211067194,0.211067194,0.211067194,0.211067194,0.168853755,0.189960474,0.211067194,0.211067194,0.211067194,0.211067194,0.211067194,0.274387352,0.274387352,0.274387352,0.274387352,0.274387352,0.274387352,0.274387352,0.295494071,0,0,0
34,2025-01-02 10:00:00+00:00,0.391778656,0.424426877,0.391778656,0.391778656,0.391778656,0.391778656,0.391778656,0.391778656,0.391778656,0.391778656,0.326482213,0.326482213,0.326482213,0.326482213,0.326482213,0.326482213,0.326482213,0.326482213,0.261185771,0.293833992,0.326482213,0.326482213,0.326482213,0.326482213,0.326482213,0.424426877,0.424426877,0.424426877,0.424426877,0.424426877,0.424426877,0.424426877,0.457075099,0,0,0
