,datetime,Beijing,Tianjin,HEBEI_SOUTH,Shanxi,Shandong,HEBEI_NORTH,NM_EAST,Liaoning,Jilin,Heilongjiang,Shanghai,Jiangsu,Zhejiang,Anhui,Fujian,Jiangxi,Henan,Hubei,Hunan,Chongqing,Sichuan,Guangdong,Guangxi,Hainan,Guizhou,Yunnan,Shaanxi,Gansu,Qinghai,Ningxia,Xinjiang,NM_WEST,Tibet,Hongkong,Macao,Taiwan
4649,2025-07-13 17:00:00+00:00,0.082629942,0.074366948,0.082629942,0.074366948,0.074366948,0.082629942,0.095024434,0.095024434,0.095024434,0.092958685,0.090892936,0.082629942,0.117,0.066103954,0.115681919,0.086761439,0.086761439,0.074366948,0.074366948,0.086761439,0.103287428,0.074366948,0.111550422,0.074366948,0.076432697,0.115681919,0.082629942,0.082629942,0.082629942,0.082629942,0.082629942,0.095024434,0.082629942,0,0,0
4650,2025-07-13 18:00:00+00:00,0.15992892,0.143936028,0.15992892,0.143936028,0.143936028,0.15992892,0.183918259,0.183918259,0.183918259,0.179920036,0.175921813,0.15992892,0.118,0.127943136,0.223900489,0.167925367,0.167925367,0.143936028,0.143936028,0.167925367,0.199911151,0.143936028,0.215904043,0.143936028,0.147934251,0.223900489,0.15992892,0.15992892,0.15992892,0.15992892,0.15992892,0.183918259,0.15992892,0,0,0
4651,2025-07-13 19:00:00+00:00,0.185695247,0.167125722,0.185695247,0.167125722,0.167125722,0.185695247,0.213549534,0.213549534,0.213549534,0.208907152,0.204264771,0.185695247,0.104,0.148556197,0.259973345,0.194980009,0.194980009,0.167125722,0.167125722,0.194980009,0.232119058,0.167125722,0.250688583,0.167125722,0.171768103,0.259973345,0.185695247,0.185695247,0.185695247,0.185695247,0.185695247,0.213549534,0.185695247,0,0,0
4652,2025-07-13 20:00:00+00:00,0.143936028,0.129542426,0.143936028,0.129542426,0.129542426,0.143936028,0.165526433,0.165526433,0.165526433,0.161928032,0.158329631,0.143936028,0.094,0.115148823,0.20151044,0.15113283,0.15113283,0.129542426,0.129542426,0.15113283,0.179920036,0.129542426,0.194313638,0.129542426,0.133140826,0.20151044,0.143936028,0.143936028,0.143936028,0.143936028,0.143936028,0.165526433,0.143936028,0,0,0
4653,2025-07-13 21:00:00+00:00,0.095068858,0.085561972,0.095068858,0.085561972,0.085561972,0.095068858,0.109329187,0.109329187,0.109329187,0.106952466,0.104575744,0.095068858,0.076,0.076055087,0.133096402,0.099822301,0.099822301,0.085561972,0.085561972,0.099822301,0.118836073,0.085561972,0.128342959,0.085561972,0.087938694,0.133096402,0.095068858,0.095068858,0.095068858,0.095068858,0.095068858,0.109329187,0.095068858,0,0,0
4654,2025-07-13 22:00:00+00:00,0.05775211,0.051976899,0.05775211,0.051976899,0.051976899,0.05775211,0.066414927,0.066414927,0.066414927,0.064971124,0.063527321,0.05775211,0.056,0.046201688,0.080852954,0.060639716,0.060639716,0.051976899,0.051976899,0.060639716,0.072190138,0.051976899,0.077965349,0.051976899,0.053420702,0.080852954,0.05775211,0.05775211,0.05775211,0.05775211,0.05775211,0.066414927,0.05775211,0,0,0
4655,2025-07-13 23:00:00+00:00,0.03553976,0.031985784,0.03553976,0.031985784,0.031985784,0.03553976,0.040870724,0.040870724,0.040870724,0.03998223,0.039093736,0.03553976,0.054,0.028431808,0.049755664,0.037316748,0.037316748,0.031985784,0.031985784,0.037316748,0.0444247,0.031985784,0.047978676,0.031985784,0.032874278,0.049755664,0.03553976,0.03553976,0.03553976,0.03553976,0.03553976,0.040870724,0.03553976,0,0,0
4656,2025-07-14 00:00:00+00:00,0.02221235,0.019991115,0.02221235,0.019991115,0.019991115,0.02221235,0.025544203,0.025544203,0.025544203,0.024988894,0.024433585,0.02221235,0.068,0.01776988,0.03109729,0.023322968,0.023322968,0.019991115,0.019991115,0.023322968,0.027765438,0.019991115,0.029986673,0.019991115,0.020546424,0.03109729,0.02221235,0.02221235,0.02221235,0.02221235,0.02221235,0.025544203,0.02221235,0,0,0
4657,2025-07-14 01:00:00+00:00,0.01332741,0.011994669,0.01332741,0.011994669,0.011994669,0.01332741,0.015326522,0.015326522,0.015326522,0.014993336,0.014660151,0.01332741,0.084,0.010661928,0.018658374,0.013993781,0.013993781,0.011994669,0.011994669,0.013993781,0.016659263,0.011994669,0.017992004,0.011994669,0.012327854,0.018658374,0.01332741,0.01332741,0.01332741,0.01332741,0.01332741,0.015326522,0.01332741,0,0,0
4658,2025-07-14 02:00:00+00:00,0.005330964,0.004797868,0.005330964,0.004797868,0.004797868,0.005330964,0.006130609,0.006130609,0.006130609,0.005997335,0.00586406,0.005330964,0.107,0.004264771,0.00746335,0.005597512,0.005597512,0.004797868,0.004797868,0.005597512,0.006663705,0.004797868,0.007196801,0.004797868,0.004931142,0.00746335,0.005330964,0.005330964,0.005330964,0.005330964,0.005330964,0.006130609,0.005330964,0,0,0
