region_grid,province,Zone,node,Resource,technology,cluster,R_ID,COAL,GAS,NUCLEAR,HYDRO,ONWIND,OFFWIND,SOLAR,PUMPED,BATTERY,OTHER,Commit,Existing_Cap_MW,num_units,unmodified_existing_cap_mw,Cap_Size,Var_OM_Cost_per_MWh,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Heat_Rate_MMBTU_per_MWh,Fuel,Min_Power,Eff_Up,Eff_Down,Ramp_Up_Percentage,Ramp_Dn_Percentage,status,start_year,retired_year
Neimenggu,Inner Mongolia,NM_E,Inner Mongolia_NM_EAST,Hexigten Coal Gasification captive power station Unit 1,conventional_steam_coal,1,G100000114015,1,0,,,,,,,,0,1,30,1,30,30,5,30,0,10.3,coal,0.4,0.331262136,0.331262136,0.5,0.5,operating,2013,
Neimenggu,Inner Mongolia,NM_E,Inner Mongolia_NM_EAST,Hexigten Coal Gasification captive power station Unit 2,conventional_steam_coal,1,G100000114016,1,0,,,,,,,,0,1,30,1,30,30,5,30,0,10.3,coal,0.4,0.331262136,0.331262136,0.5,0.5,operating,2013,
Neimenggu,Inner Mongolia,NM_E,Inner Mongolia_NM_EAST,Hexigten Coal Gasification captive power station Unit 3,conventional_steam_coal,1,G100000114017,1,0,,,,,,,,0,1,100,1,100,100,5,30,0,10.3,coal,0.4,0.331262136,0.331262136,0.5,0.5,operating,2013,
Neimenggu,Inner Mongolia,NM_E,Inner Mongolia_NM_EAST,Hexigten Coal Gasification captive power station Unit 4,conventional_steam_coal,1,G100000114018,1,0,,,,,,,,0,1,100,1,100,100,5,30,0,10.3,coal,0.4,0.331262136,0.331262136,0.5,0.5,operating,2013,
SouthernGrid,Guangdong,GD,Guangdong,Heyuan power station Phase I Unit 1,ultra_supercritical_coal,1,G100000103865,1,0,,,,,,,,0,1,622.1,1,622.1,622.1,5,30,0,8.8,coal,0.4,0.387727273,0.387727273,0.5,0.5,operating,2008,
SouthernGrid,Guangdong,GD,Guangdong,Heyuan power station Phase I Unit 2,ultra_supercritical_coal,1,G100000103866,1,0,,,,,,,,0,1,622.1,1,622.1,622.1,5,30,0,8.8,coal,0.4,0.387727273,0.387727273,0.5,0.5,operating,2009,
SouthernGrid,Guangdong,GD,Guangdong,Heyuan power station Phase II Unit 3,ultra_supercritical_coal,1,G100000103867,1,0,,,,,,,,0,1,1000,1,1000,1000,5,30,0,8.8,coal,0.4,0.387727273,0.387727273,0.5,0.5,operating,2021,
SouthernGrid,Guangdong,GD,Guangdong,Heyuan power station Phase II Unit 4,ultra_supercritical_coal,1,G100000103868,1,0,,,,,,,,0,1,1000,1,1000,1000,5,30,0,8.8,coal,0.4,0.387727273,0.387727273,0.5,0.5,operating,2021,
NorthChina,Shandong,SD,Shandong,Heze Huarun power station Phase I Unit 1,ultra_supercritical_coal,1,G100000103869,1,0,,,,,,,,0,1,600,1,600,600,5,30,0,8.8,coal,0.4,0.387727273,0.387727273,0.5,0.5,operating,2011,
NorthChina,Shandong,SD,Shandong,Heze Huarun power station Phase I Unit 2,ultra_supercritical_coal,1,G100000103870,1,0,,,,,,,,0,1,600,1,600,600,5,30,0,8.8,coal,0.4,0.387727273,0.387727273,0.5,0.5,operating,2011,
NorthChina,Shandong,SD,Shandong,Heze Minsheng cogen power station Unit 1,conventional_steam_coal,1,G100000115699,1,0,,,,,,,,0,1,30,1,30,30,5,30,0,10.3,coal,0.4,0.331262136,0.331262136,0.5,0.5,operating,2021,
NorthChina,Shandong,SD,Shandong,Heze power station Phase I Unit 1,conventional_steam_coal,1,G100000103873,1,0,,,,,,,,0,1,135,1,135,135,5,30,0,10.3,coal,0.4,0.331262136,0.331262136,0.5,0.5,operating,1990,
NorthChina,Shandong,SD,Shandong,Heze power station Phase I Unit 2,conventional_steam_coal,1,G100000103874,1,0,,,,,,,,0,1,135,1,135,135,5,30,0,10.3,coal,0.4,0.331262136,0.331262136,0.5,0.5,operating,1992,
NorthChina,Shandong,SD,Shandong,Heze power station Phase II Unit 3,conventional_steam_coal,1,G100000103875,1,0,,,,,,,,0,1,300,1,300,300,5,30,0,10.3,coal,0.4,0.331262136,0.331262136,0.5,0.5,operating,2003,
NorthChina,Shandong,SD,Shandong,Heze power station Phase II Unit 4,conventional_steam_coal,1,G100000103876,1,0,,,,,,,,0,1,300,1,300,300,5,30,0,10.3,coal,0.4,0.331262136,0.331262136,0.5,0.5,operating,2003,
